Type_L,Type_M,Process temperature [K],Temperature difference,Rotational speed [rpm],Torque [Nm],Power [W],Tool wear [min]
1,0,0.8744021602137081,-0.8004982272720572,-0.10014794092116082,-0.8514958605630423,-1.182391073109839,1.4858198077847486
1,0,-0.40887608978616047,1.9003814661121645,-0.12249584478217493,-0.3297859054045572,-0.4216461976278817,1.973738877519443
0,1,0.5366973575821697,-0.5004004835626986,-0.16719165250420315,0.011332142199067259,0.052396836741121826,-1.3000406871520558
0,1,-0.07117128715462219,1.100120816220543,-0.6923673932380348,1.325639913848327,1.4996164453491563,1.359905209143537
1,0,0.19899255495063148,-0.9005308085085094,-0.22306141215673844,-0.1893255328618884,-0.2807238433442567,-0.7334249932666042
1,0,1.2121069628452463,1.5002511411663537,0.15685295348050143,-0.2294570678740794,-0.0882447584358149,1.139554661521417
1,0,0.806861199687385,-1.9008566208730355,-0.7817590086820911,0.9243245637264157,0.8677680757476851,0.05354124824096776
1,0,0.33407447600323914,-1.2006285522178661,-0.08897398899065377,-0.5304435804655129,-0.6985869804649805,1.1552939863515683
1,0,0.40161543652956216,-1.2006285522178661,-1.9382630334895714,2.900802663076829,2.171023773082974,0.4312850441646022
0,0,0.6717792786347774,-0.3003353210897941,0.22948364102879729,-0.33981878915760516,-0.21054342530913248,1.2025119608420227
1,0,0.19899255495063148,0.39989274756537524,-1.5136528601303032,1.3356727976013743,0.7456191470646019,0.6044176172962681
1,0,-0.0036303266282991724,-0.40036790232624636,1.285422098461714,-1.3932715832276223,-1.3529709476966119,-1.0954294643600873
0,1,-1.3544495371544523,1.0000882349840905,-0.7314762249948095,0.7938970749367941,0.7317870817417705,-0.8436002670776641
0,0,0.40161543652956216,1.5002511411663537,-1.1560863983540774,0.803929958689842,0.3880630660604723,0.635896266956571
1,0,-1.1518266555755217,-0.10027015861688783,-0.5918018258634713,2.2386323353756747,2.871461592448337,-1.378737311302813
1,0,1.1445660023189232,1.100120816220543,1.145747699330376,-1.3130085132032405,-1.2801888286061784,0.05354124824096776
0,1,0.06391063389802384,1.100120816220543,0.9278556366854882,-0.991956233105711,-0.848297094787941,-0.37142052217312105
0,0,0.33407447600323914,-0.7004656460356031,-0.18953955636521727,0.36248307355573967,0.5529060962339201,-0.46585647115402967
1,0,0.5366973575821697,1.5002511411663537,-0.31245302760079485,0.35245018980269177,0.4443646255883179,-1.4574339354535701
0,1,-0.6114989713650527,0.299860166328923,-0.37390976321858366,0.753765539924603,0.9745220467473743,0.2738917958630879
1,0,-0.9492037739965911,1.2001533974569951,-0.03869120530337202,-0.12912823034360157,-0.06741243271956093,0.4470243689947537
0,1,1.1445660023189232,1.0000882349840905,-0.19512653233047078,-0.3097201378984621,-0.43892224132608676,1.9107815781988373
1,0,0.6717792786347774,-0.00023757738043557702,1.4809662572455875,-1.4233702344867658,-1.3164909811009442,1.0451187125405084
0,1,-0.8816628134703064,-0.6004330647991509,-0.8320417923693729,0.9343574474794629,0.837998251801862,1.6904310305767172
1,0,0.9419431207399928,0.9000556537476383,0.40267989595165665,-0.7311012555264685,-0.7150862573013487,-1.0009935153791785
0,1,-0.40887608978616047,1.300185978693449,-0.9884771193964718,0.763798423677651,0.4758002869004899,-0.5917710697952412
1,0,-0.2737941687335145,0.9000556537476383,0.7043765980753471,-0.8916273955752332,-0.8031135958849434,1.1080760118611142
1,0,0.4691563970558468,-0.8004982272720572,-1.2063691820413593,0.9744889824916546,0.5661485674327064,-0.4501171463238782
1,0,0.40161543652956216,1.4002185599299013,0.7602463577278824,-0.6709039530081824,-0.4114920766026633,-1.2528227126616016
0,1,-1.7596953003123137,0.8000230725111861,1.402748593732038,-1.4233702344867658,-1.3518853458174183,-0.5602924201349383
0,0,-0.47641705031244513,-0.8004982272720572,-0.5079971863846683,0.5832065161227905,0.6215516978191501,0.8719861394088425
1,0,0.6042383181084544,-0.10027015861688783,0.7825942615888966,-1.0220548843648545,-0.9743579336908789,-0.6862070187761498
1,0,2.0901394496872534,-0.9005308085085094,1.0116602761642912,-1.1324166056483802,-1.0400368473821042,-0.025155375909789425
1,0,0.33407447600323914,-0.00023757738043557702,-0.133669796712682,-0.33981878915760516,-0.4436857875028943,-0.8436002670776641
1,0,0.4691563970558468,-0.00023757738043557702,0.011591578383909725,0.13172674723564023,0.3593788439938429,-0.40289917183342394
0,1,-1.2193676161018447,0.5999579100382797,2.5480786666090114,-1.9551130733982984,-1.8697829526510967,-1.5361305596043273
0,0,0.8744021602137081,-1.8008240396365833,-0.25099629198300605,0.2721871197783098,0.3741280557318557,1.7848669795576257
1,0,-0.8816628134703064,-0.5004004835626986,0.6205719585965442,-0.9518246980935201,-0.9458608843620405,-0.2297665987017581
1,0,-0.9492037739965911,-0.2003027398533401,-0.6029757777939783,0.5731736323697433,0.5312221345607124,-0.16680929938115235
1,0,-0.6114989713650527,0.09979500385601668,-0.08897398899065377,-0.1391611140966495,-0.11647976593174383,1.0923366870309625
0,1,0.7393202391611005,1.4002185599299013,0.44178872770843136,-0.9718904655996156,-1.0732225737926326,0.2738917958630879
0,1,-0.7465808924176988,1.5002511411663537,-1.2063691820413593,1.7369881477232856,1.5515475214495569,0.8719861394088425
0,1,-1.0167447345229141,-0.40036790232624636,-0.027517253372864967,0.2922528872844049,0.5715859354655655,0.21093449654248214
1,0,-0.5439580108387682,-0.40036790232624636,0.11215714575847323,-0.08899669533141058,0.09610167101556326,0.03780192341081633
0,1,-0.5439580108387682,0.4999253288018275,-0.7203022730643024,0.5631407486166954,0.4233451271342721,-0.9537755408887242
0,1,-1.6921543397859906,-0.5004004835626986,-0.08338701302540025,-0.36991744041674895,-0.4562170022980706,-0.15106997455100094
1,0,-0.20625320820722984,-0.7004656460356031,-0.2845181477745272,-0.43011474293503504,-0.6717838444131603,1.0923366870309625
0,1,0.6042383181084544,-1.3006611334543203,1.2965960503922211,-1.2427783269319057,-1.087513212323055,-0.8436002670776641
0,1,1.0770250417926388,0.5999579100382797,-0.47447533059314717,0.0012992584460193332,-0.17800344484398634,0.5099816683153594
0,1,-0.2737941687335145,-0.5004004835626986,0.46413663156944546,-0.3899832079228441,-0.13937099176371004,-1.0167328402093299
0,0,-1.4219904976807753,0.9000556537476383,1.7156192477862355,-1.2728769781910492,-0.9389167757899567,1.1238153366912655
1,0,1.279647923371531,-0.6004330647991509,-1.3013477734506693,1.9777773577964328,1.7632679638030204,1.0136400628802054
0,1,-0.6790399318913758,1.100120816220543,2.408404267477673,-1.8447513521147727,-1.7076352099018544,-1.1111687891902386
0,0,-0.47641705031244513,-1.100595970981414,-0.7985199365778518,1.1249822387873714,1.12693680713143,-0.8436002670776641
1,0,-0.07117128715462219,1.100120816220543,-0.6197367056897389,0.242088468519166,0.05595311875917071,0.38406706967414794
1,0,0.33407447600323914,-1.100595970981414,-0.7929329606125982,0.9443903312325108,0.8855120512903704,-0.0566340255700923
1,0,0.2665335154769161,-1.0005633897449617,0.11215714575847323,-0.40001609167589197,-0.37753894196718796,1.3913838588038399
1,0,0.9419431207399928,1.300185978693449,0.36357106419488194,-0.5003449292063699,-0.37596669096973456,1.3126872346530827
0,1,1.0094840812663157,-0.5004004835626986,-0.9661292155354576,1.2353439600708964,1.1236612842200695,-0.8436002670776641
1,0,1.6848936865293924,-1.3006611334543203,0.4473757036736849,-0.9116931630813291,-0.9750504728207092,0.5414603179756623
1,0,1.0770250417926388,0.5999579100382797,-1.044346879049007,2.3590269404122486,2.535907666771661,0.5571996428058138
0,1,-1.084285695049237,-0.2003027398533401,1.3357048821489959,-1.1825810244136192,-0.9640259985647585,0.8405074897485396
1,0,-1.0167447345229141,1.0000882349840905,-0.4297795228711189,1.2353439600708964,1.6157103359646676,0.635896266956571
0,1,-1.0167447345229141,0.39989274756537524,-0.8767376000914011,1.4560674026379479,1.503640659211685,-1.4259552857932674
0,1,-0.7465808924176988,1.2001533974569951,-1.1840212781803452,2.3790927079183444,2.406337339035124,-1.3629979864726616
1,0,0.8744021602137081,0.299860166328923,-0.37390976321858366,-0.4702462779472268,-0.7854632067111545,-0.5445530953047869
0,1,-1.2869085766281294,0.09979500385601668,0.26859247278557197,-0.7712327905386602,-0.8542117533021699,-1.2213440630012986
1,0,-1.0167447345229141,0.19982758509246895,-0.005169349511850857,-0.7812656742917075,-1.0243985651395795,1.029379387710357
